Card #,Player,Team,Starter,Pos,Rat,Spd,Def,WAR,IRL WAR,Diff,Special,Success%,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,
110,Lance Berkman,Houston Astros,y,OF,94,,,11.3,4.4,6.8,Power Surge,0.54,BB,BB,K,1B,2B,HR,BB,1B,1B,3B,,,,,,,,,,,,,,,,,,,,
106,Adrian Beltre,Seattle Mariners,,3B,91,,*,9.1,4.5,4.6,Power Surge,0.48,1B,FO,HR,BB,1B,2B,K,K,1B,HR,,,,,,,,,,,,,,,,,,,,
90,Jim Thome,Philadelphia Phillies,,1B,89,,,8.2,2.8,5.4,Power Surge,0.47,K,BB,HR,1B,BB,K,2B,BB,1B,2B,,,,,,,,,,,,,,,,,,,,
138,Adam Dunn,Cincinnati Reds,,OF,89,,,8.0,3.6,4.4,Power Surge,0.46,BB,K,HR,BB,1B,2B,K,K,1B,1B,,,,,,,,,,,,,,,,,,,,
80,Todd Helton,Colorado Rockies,,1B,97,,*,7.6,5.3,2.3,Power Surge,0.28,BB,1B,BB,2B,1B,HR,K,BB,FO,2B,,,,,,,,,,,,,,,,,,,,
50,Sammy Sosa,Chicago Cubs,,OF,81,,,6.9,0.7,6.2,Power Surge,0.45,BB,K,HR,K,1B,GO,1B,2B,K,2B,,,,,,,,,,,,,,,,,,,,
99,J.T. Snow,San Francisco Giants,y,1B,68,,,6.9,4.4,2.5,Make Contact,0.985,1B,BB,K,1B,2B,BB,FO,HR,2B,GO,,,,,,,,,,,,,,,,,,,,
10,Manny Ramirez,Boston Red Sox,,OF,90,,,6.9,3.3,3.5,Power Surge,0.42,1B,K,BB,2B,BB,HR,K,HR,1B,FO,,,,,,,,,,,,,,,,,,,,
93,Bobby Abreu,Philadelphia Phillies,,OF,93,*,,6.8,4.7,2.2,Steal,0.86,K,BB,1B,2B,BB,HR,1B,BB,BB,FO,,,,,,,,,,,,,,,,,,,,
53,Albert Pujols,St. Louis Cardinals,,1B,93,,,6.7,5.6,1.1,Power Surge,0.41,BB,1B,2B,FO,HR,GO,1B,BB,HR,K,,,,,,,,,,,,,,,,,,,,
58,Justin Morneau,Minnesota Twins,,1B,83,,,6.2,1.1,5.1,Power Surge,0.43,K,1B,BB,HR,FO,2B,GO,FO,1B,K,,,,,,,,,,,,,,,,,,,,
40,Eric Gagne,Los Angeles Dodgers,,P,97,,,5.8,6.3,-0.5,High Heat (BB),0.67,K,GO,FO,GO,K,K,K,K,1B,BB,,,,,,,,,,,,,,,,,,,,
116,Paul Konerko,Chicago White Sox,,1B,83,,*,5.7,1.3,4.4,Power Surge,0.41,BB,FO,1B,HR,K,1B,K,2B,GO,HR,,,,,,,,,,,,,,,,,,,,
130,Ken Griffey Jr.,Cincinnati Reds,y,OF,63,,,5.5,1.1,4.4,Power Surge,0.41,K,FO,BB,1B,BB,2B,HR,HR,1B,2B,,,,,,,,,,,,,,,,,,,,
9,Vladimir Guerrero,Anaheim Angels,,OF,90,*,,5.4,4.1,1.2,Power Surge,0.37,1B,FO,1B,HR,2B,K,BB,BB,GO,GO,,,,,,,,,,,,,,,,,,,,
75,Randy Johnson,New York Yankees,,P,98,,*,5.3,6.0,-0.7,High Heat (BB),0.7,K,FO,GO,FO,GO,K,K,K,1B,3B,,,,,,,,,,,,,,,,,,,,
71,Larry Walker,St. Louis Cardinals,,OF,92,,,5.2,4.3,0.9,Power Surge,0.37,1B,BB,K,BB,HR,2B,K,GO,3B,1B,,,,,,,,,,,,,,,,,,,,
32,Keith Foulke,Boston Red Sox,,P,91,,,5.2,2.9,2.3,High Heat (BB),0.7,FO,K,FO,GO,FO,K,FO,GO,1B,2B,,,,,,,,,,,,,,,,,,,,
51,J.D. Drew,Los Angeles Dodgers,,OF,94,,,5.0,5.3,-0.2,Power Surge,0.25,BB,K,BB,1B,1B,HR,2B,K,3B,BB,,,,,,,,,,,,,,,,,,,,
59,Francisco Rodriguez,Anaheim Angels,,P,90,,,4.8,6.6,-1.8,High Heat (BB),0.78,FO,GO,K,K,K,K,BB,K,1B,K,,,,,,,,,,,,,,,,,,,,
107,Moises Alou,Chicago Cubs,y,OF,86,,,4.8,2.3,2.5,Power Surge,0.38,1B,BB,FO,HR,GO,2B,K,1B,K,3B,,,,,,,,,,,,,,,,,,,,
45,David Ortiz,Boston Red Sox,,1B,89,,,4.5,3.2,1.3,Power Surge,0.37,1B,K,BB,HR,2B,K,FO,BB,2B,GO,,,,,,,,,,,,,,,,,,,,
60,Joe Nathan,Minnesota Twins,,P,96,,,4.5,6.3,-1.8,High Heat (BB),0.75,FO,FO,K,GO,K,K,K,1B,BB,BB,,,,,,,,,,,,,,,,,,,,
105,Joe Mauer,Minnesota Twins,,C,82,,,4.4,3.0,1.4,Power Surge,0.31,1B,GO,BB,2B,HR,K,1B,FO,GO,3B,,,,,,,,,,,,,,,,,,,,
34,Jeromy Burnitz,Colorado Rockies,,OF,85,,,4.2,1.7,2.5,Power Surge,0.37,K,BB,1B,HR,FO,2B,1B,K,K,3B,,,,,,,,,,,,,,,,,,,,
17,Corey Koskie,Toronto Blue Jays,,3B,82,,,4.2,0.6,3.5,Power Surge,0.38,BB,1B,K,K,HR,2B,FO,GO,FO,GO,,,,,,,,,,,,,,,,,,,,
98,Mark Teixeria,Texas Rangers,,1B,87,,,3.9,2.2,1.6,Power Surge,0.36,1B,BB,K,HR,K,2B,FO,FO,BB,1B,,,,,,,,,,,,,,,,,,,,
82,Vinny Castilla,Washington Nationals,,3B,81,,*,3.8,0.2,3.7,Power Surge,0.36,1B,K,GO,2B,FO,HR,BB,BB,HR,3B,,,,,,,,,,,,,,,,,,,,
1,Alex Rodriguez,New York Yankees,,3B,85,*,,3.8,2.8,1.0,Power Surge,0.36,BB,K,1B,1B,HR,FO,K,2B,BB,GO,,,,,,,,,,,,,,,,,,,,
20,Carlos Beltran,New York Mets,,OF,87,*,,3.6,3.4,0.3,Power Surge,0.32,FO,BB,K,1B,HR,2B,BB,1B,3B,BB,,,,,,,,,,,,,,,,,,,,
3,Miguel Cabrera,Florida Marlins,,OF,83,,,3.5,2.1,1.4,Power Surge,0.36,K,BB,1B,1B,HR,K,2B,GO,FO,GO,,,,,,,,,,,,,,,,,,,,
41,Ichiro,Seattle Mariners,,OF,88,*,*,3.5,2.7,0.8,Steal,0.78,1B,1B,GO,1B,1B,BB,FO,2B,K,3B,,,,,,,,,,,,,,,,,,,,
44,Lyle Overbay,Milwaukee Brewers,,1B,85,,,3.5,1.7,1.8,Make Contact,0.81,1B,K,2B,BB,1B,K,BB,HR,GO,FO,,,,,,,,,,,,,,,,,,,,
127,Roger Clemens,Houston Astros,,P,94,,*,3.5,3.9,-0.5,High Heat (BB),0.85,GO,K,FO,K,GO,FO,BB,1B,GO,2B,,,,,,,,,,,,,,,,,,,,
86,Braden Looper,New York Mets,,P,88,,,3.5,3.0,0.5,Double Play,0.6,GO,FO,1B,K,GO,FO,GO,1B,FO,GO,,,,,,,,,,,,,,,,,,,,
57,Carlos Zambrano,Chicago Cubs,,P,95,,,3.4,3.2,0.2,High Heat (BB),0.86,GO,FO,GO,K,FO,K,1B,BB,GO,2B,,,,,,,,,,,,,,,,,,,,
100,Miguel Tejada,Baltimore Orioles,,SS,84,,,3.3,2.1,1.3,Power Surge,0.27,1B,GO,FO,1B,2B,HR,K,BB,BB,BB,,,,,,,,,,,,,,,,,,,,
115,Jeff Kent,Los Angeles Dodgers,,2B,82,,*,3.3,1.4,1.9,Look for a Walk,0.72,1B,K,FO,BB,2B,HR,GO,1B,3B,FO,,,,,,,,,,,,,,,,,,,,
84,Ray Durham,San Francisco Giants,,3B,83,,,3.1,1.8,1.3,Make Contact,0.69,BB,FO,1B,1B,2B,K,FO,HR,3B,HR,,,,,,,,,,,,,,,,,,,,
121,Lew Ford,Minnesota Twins,,OF,83,*,,3.0,1.5,1.5,Steal,0.89,BB,1B,1B,GO,K,2B,FO,GO,HR,3B,,,,,,,,,,,,,,,,,,,,
94,Ben Sheets,Milwaukee Brewers,,P,96,,,2.9,5.1,-2.2,High Heat (BB),0.8,K,K,FO,GO,FO,GO,FO,2B,1B,HR,,,,,,,,,,,,,,,,,,,,
12,Sean Burroughs,San Diego Padres,y,3B,76,,,2.9,-0.2,3.1,Make Contact,0.78,1B,1B,GO,FO,BB,1B,2B,K,GO,3B,,,,,,,,,,,,,,,,,,,,
11,Livan Hernandez,Washington Nationals,,P,84,,*,2.9,2.5,0.4,Double Play,0.58,GO,FO,K,GO,FO,1B,GO,BB,2B,HR,,,,,,,,,,,,,,,,,,,,
69,Carl Pavano,New York Yankees,,P,92,,*,2.8,3.0,-0.2,Double Play,0.53,GO,FO,GO,FO,1B,K,GO,FO,2B,3B,,,,,,,,,,,,,,,,,,,,
47,Darin Erstad,Anaheim Angels,y,1B,78,*,,2.7,0.3,2.4,Steal,0.94,1B,1B,GO,GO,2B,BB,GO,K,1B,HR,,,,,,,,,,,,,,,,,,,,
108,Aubrey Huff,Tampa Bay Devil Rays,,1B,84,,,2.7,1.7,1.0,Power Surge,0.25,1B,GO,BB,1B,FO,HR,2B,K,K,FO,,,,,,,,,,,,,,,,,,,,
43,Javy Lopez,Baltimore Orioles,,C,84,,,2.6,1.8,0.9,Look for a Walk,0.78,1B,K,1B,GO,BB,2B,HR,FO,1B,3B,,,,,,,,,,,,,,,,,,,,
133,Jake Westbrook,Cleveland Indians,,P,89,,,2.6,2.0,0.6,Double Play,0.55,GO,GO,FO,GO,1B,GO,K,2B,FO,BB,,,,,,,,,,,,,,,,,,,,
6,Juan Uribe,Chicago White Sox,,SS,78,,,2.6,0.4,2.2,Look for a Walk,0.69,K,FO,1B,1B,2B,HR,BB,GO,3B,K,,,,,,,,,,,,,,,,,,,,
23,Brad Wilkerson,Washington Nationals,,OF,84,,,2.6,2.0,0.6,Power Surge,0.27,BB,K,1B,K,2B,HR,BB,FO,BB,BB,,,,,,,,,,,,,,,,,,,,
112,Jerome Williams,San Francisco Giants,,P,69,,,2.6,1.0,1.6,Double Play,0.51,GO,GO,FO,GO,GO,K,1B,BB,2B,HR,,,,,,,,,,,,,,,,,,,,
87,Eric Byrnes,Oakland Athletics,,OF,81,*,*,2.6,1.6,1.0,Steal,0.95,K,1B,FO,2B,BB,1B,GO,HR,FO,3B,,,,,,,,,,,,,,,,,,,,
56,Matt Morris,St. Louis Cardinals,,P,76,,*,2.5,0.8,1.8,Double Play,0.66,GO,GO,FO,GO,K,1B,GO,HR,2B,BB,,,,,,,,,,,,,,,,,,,,
83,Tony Batista,Washington Nationals,,3B,78,*,,2.4,-2.2,4.7,Power Surge,0.35,FO,1B,GO,FO,HR,K,2B,1B,BB,BB,,,,,,,,,,,,,,,,,,,,
39,Pedro Martinez,New York Mets,,P,80,,,2.4,3.2,-0.8,High Heat (BB),0.82,FO,K,GO,K,FO,GO,1B,FO,HR,2B,,,,,,,,,,,,,,,,,,,,
65,Johnny Damon,Boston Red Sox,,OF,85,*,,2.4,2.4,0.0,Steal,0.68,BB,1B,GO,1B,FO,2B,K,HR,1B,3B,,,,,,,,,,,,,,,,,,,,
125,Curt Schilling,Boston Red Sox,,P,95,,*,2.4,4.3,-1.9,High Heat (BB),0.86,FO,GO,K,FO,GO,K,1B,2B,FO,HR,,,,,,,,,,,,,,,,,,,,
118,Jason Kendall,Oakland Athletics,,C,82,,,2.3,1.1,1.3,Make Contact,0.75,1B,1B,BB,GO,FO,2B,1B,GO,FO,1B,,,,,,,,,,,,,,,,,,,,
30,Derek Jeter,New York Yankees,,SS,80,*,,2.3,1.5,0.8,Steal,0.86,GO,1B,1B,K,2B,BB,FO,HR,FO,HR,,,,,,,,,,,,,,,,,,,,
67,Eddie Guardado,Seattle Mariners,,P,87,,,2.3,0.7,1.5,High Heat (BB),0.79,FO,K,FO,K,GO,FO,GO,HR,BB,1B,,,,,,,,,,,,,,,,,,,,
140,Magglio Ordonez,Chicago White Sox,,OF,81,,,2.3,1.2,1.1,Make Contact,0.65,1B,GO,FO,1B,BB,HR,K,2B,GO,3B,,,,,,,,,,,,,,,,,,,,
136,Derrek Lee,Chicago Cubs,,1B,83,,*,2.2,1.4,0.8,Power Surge,0.27,1B,BB,K,FO,2B,HR,K,GO,1B,FO,,,,,,,,,,,,,,,,,,,,
109,Tim Wakefield,Boston Red Sox,,P,76,,,2.2,1.0,1.1,Double Play,0.57,GO,FO,GO,FO,GO,1B,K,BB,HR,2B,,,,,,,,,,,,,,,,,,,,
134,Freddy Garcia,Chicago White Sox,,P,81,,*,2.1,3.3,-1.2,High Heat (BB),0.92,GO,FO,GO,K,FO,K,1B,2B,BB,HR,,,,,,,,,,,,,,,,,,,,
8,Matt Holliday,Colorado Rockies,,OF,81,,,2.1,0.7,1.4,Look for a Walk,0.81,1B,K,2B,BB,GO,1B,K,HR,FO,3B,,,,,,,,,,,,,,,,,,,,
29,Johnny Estrada,Atlanta Braves,,C,81,,,2.1,0.6,1.5,Make Contact,0.72,1B,1B,2B,GO,BB,FO,K,K,HR,BB,,,,,,,,,,,,,,,,,,,,
135,Jorge Posada,New York Yankees,,C,83,,,2.0,1.8,0.2,Look for a Walk,0.85,K,1B,BB,BB,GO,2B,HR,BB,1B,2B,,,,,,,,,,,,,,,,,,,,
15,Michael Young,Texas Rangers,,SS,83,,,1.9,1.2,0.8,Make Contact,0.73,1B,1B,FO,GO,K,BB,2B,HR,3B,1B,,,,,,,,,,,,,,,,,,,,
48,Mike Lowell,Florida Marlins,y,3B,83,,*,1.9,1.7,0.2,Make Contact,0.73,1B,BB,FO,FO,K,2B,HR,1B,2B,HR,,,,,,,,,,,,,,,,,,,,
55,Shawn Green,Arizona Diamondbacks,,OF,79,,,1.9,0.9,1.0,Make Contact,0.67,BB,K,1B,GO,1B,HR,2B,FO,K,FO,,,,,,,,,,,,,,,,,,,,
70,Ivan Rodriguez,Detroit Tigers,,C,85,,,1.9,2.3,-0.4,Look for a Walk,0.84,GO,K,1B,1B,BB,1B,2B,HR,2B,HR,,,,,,,,,,,,,,,,,,,,
132,Carlos Pena,Detroit Tigers,,1B,79,,,1.8,1.2,0.6,Power Surge,0.27,K,1B,BB,BB,K,HR,K,2B,2B,3B,,,,,,,,,,,,,,,,,,,,
13,Danny Bautista,Arizona Diamondbacks,,OF,74,,*,1.7,-0.9,2.7,Make Contact,0.72,1B,GO,1B,GO,K,BB,2B,1B,HR,FO,,,,,,,,,,,,,,,,,,,,
16,Tino Martinez,New York Yankees,,1B,81,,*,1.7,0.6,1.1,Make Contact,0.67,FO,1B,BB,K,BB,HR,1B,2B,GO,GO,,,,,,,,,,,,,,,,,,,,
18,Juan Pierre,Florida Marlins,y,OF,79,*,*,1.7,1.4,0.3,Steal,0.64,1B,1B,GO,1B,FO,BB,GO,2B,3B,3B,,,,,,,,,,,,,,,,,,,,
120,Chipper Jones,Atlanta Braves,,OF,82,,,1.6,1.4,0.2,Power Surge,0.31,K,1B,BB,BB,HR,GO,FO,2B,GO,BB,,,,,,,,,,,,,,,,,,,,
119,Pat Burrell,Philadelphia Phillies,,OF,81,,,1.6,0.6,0.9,Look for a Walk,0.85,K,K,1B,BB,BB,HR,1B,2B,BB,1B,,,,,,,,,,,,,,,,,,,,
35,Jeff Bagwell,Houston Astros,,1B,83,,*,1.6,1.8,-0.3,Look for a Walk,0.9,K,BB,FO,1B,BB,1B,HR,2B,2B,HR,,,,,,,,,,,,,,,,,,,,
122,Josh Beckett,Florida Marlins,,P,68,,,1.5,3.0,-1.5,High Heat (BB),0.53,GO,FO,K,GO,K,FO,BB,1B,2B,HR,,,,,,,,,,,,,,,,,,,,
91,Rafael Palmeiro,Baltimore Orioles,,1B,79,,,1.4,0.1,1.3,Make Contact,0.7,1B,FO,FO,BB,BB,2B,HR,K,1B,K,,,,,,,,,,,,,,,,,,,,
52,Michael Barrett,Chicago Cubs,,C,79,,,1.2,0.2,1.0,Look for a Walk,0.72,1B,FO,GO,K,2B,BB,1B,HR,3B,HR,,,,,,,,,,,,,,,,,,,,
124,Hee Sop Choi,Los Angeles Dodgers,y,1B,65,,,1.2,1.4,-0.2,Look for a Walk,0.91,1B,BB,K,BB,K,2B,HR,K,FO,K,,,,,,,,,,,,,,,,,,,,
28,Alfonso Soriano,Texas Rangers,,2B,80,*,,1.2,0.5,0.8,Steal,0.79,K,FO,1B,1B,GO,2B,BB,HR,HR,3B,,,,,,,,,,,,,,,,,,,,
103,Rich Harden,Oakland Athletics,,P,79,,,1.2,3.1,-1.9,High Heat (BB),0.35,FO,GO,FO,K,GO,1B,K,BB,BB,2B,,,,,,,,,,,,,,,,,,,,
22,Orlando Cabrera,Boston Red Sox,y,SS,67,*,,1.2,-2.2,3.4,Steal,0.84,GO,FO,1B,1B,2B,BB,FO,2B,BB,HR,,,,,,,,,,,,,,,,,,,,
78,Garret Anderson,Anaheim Angels,,OF,81,,,1.2,0.1,1.1,Look for a Walk,0.82,1B,1B,K,FO,GO,BB,2B,HR,1B,HR,,,,,,,,,,,,,,,,,,,,
81,Odalis Perez,Los Angeles Dodgers,,P,89,,*,1.2,2.2,-1.0,Double Play,0.56,GO,GO,FO,GO,K,1B,GO,2B,HR,3B,,,,,,,,,,,,,,,,,,,,
95,Andruw Jones,Atlanta Braves,,OF,78,,*,1.1,0.6,0.6,Power Surge,0.28,K,BB,1B,GO,K,HR,2B,1B,2B,3B,,,,,,,,,,,,,,,,,,,,
36,Keith Ginter,Oakland Athletics,,2B,79,,,1.1,0.8,0.3,Look for a Walk,0.69,1B,K,BB,K,FO,HR,2B,GO,2B,3B,,,,,,,,,,,,,,,,,,,,
7,Eric Munson,Detroit Tigers,,3B,75,,,0.9,-0.6,1.5,Power Surge,0.31,K,K,FO,BB,HR,1B,2B,GO,1B,3B,,,,,,,,,,,,,,,,,,,,
111,Matt Stairs,Kansas City Royals,,OF,78,,,0.9,-0.4,1.3,Look for a Walk,0.78,K,BB,1B,GO,1B,2B,HR,FO,K,3B,,,,,,,,,,,,,,,,,,,,
73,Shea Hillenbrand,Arizona Diamondbacks,,1B,80,,,0.9,0.3,0.6,Make Contact,0.61,1B,1B,GO,FO,GO,BB,HR,2B,K,3B,,,,,,,,,,,,,,,,,,,,
139,Coco Crisp,Cleveland Indians,y,OF,78,*,,0.8,0.6,0.3,Steal,0.61,1B,1B,GO,K,BB,FO,2B,HR,GO,HR,,,,,,,,,,,,,,,,,,,,
33,Jermaine Dye,Oakland Athletics,y,OF,77,,*,0.8,-0.2,1.0,Look for a Walk,0.71,1B,K,K,BB,FO,2B,HR,1B,1B,3B,,,,,,,,,,,,,,,,,,,,
85,Mike Piazza,New York Mets,,C,80,,,0.7,-0.2,0.9,Look for a Walk,0.85,FO,1B,K,BB,BB,1B,HR,2B,GO,2B,,,,,,,,,,,,,,,,,,,,
89,Jack Wilson,Pittsburgh Pirates,,SS,78,,,0.6,0.5,0.1,Make Contact,0.63,1B,1B,FO,GO,2B,FO,K,3B,BB,HR,,,,,,,,,,,,,,,,,,,,
79,David Dellucci,Texas Rangers,,OF,78,,,0.6,0.2,0.4,Look for a Walk,0.72,1B,K,BB,K,FO,HR,BB,2B,GO,1B,,,,,,,,,,,,,,,,,,,,
101,Torii Hunter,Minnesota Twins,,OF,77,*,,0.6,0.5,0.1,Steal,0.76,K,1B,GO,2B,BB,FO,HR,1B,K,HR,,,,,,,,,,,,,,,,,,,,
49,Orlando Hernandez,Chicago White Sox,,P,84,,,0.5,2.8,-2.3,High Heat (BB),0.96,FO,GO,K,FO,K,BB,GO,HR,2B,HR,,,,,,,,,,,,,,,,,,,,
63,David Bell,Philadelphia Phillies,,3B,81,,,0.5,0.6,-0.1,Make Contact,0.6,1B,BB,FO,GO,K,2B,1B,HR,FO,2B,,,,,,,,,,,,,,,,,,,,
114,Khalil Greene,San Diego Padres,,SS,79,,,0.4,1.0,-0.6,Look for a Walk,0.75,FO,BB,1B,K,2B,1B,K,HR,GO,3B,,,,,,,,,,,,,,,,,,,,
97,Charles Johnson,Colorado Rockies,,C,78,,,0.4,-0.8,1.2,Look for a Walk,0.67,BB,K,1B,K,GO,2B,HR,BB,BB,2B,,,,,,,,,,,,,,,,,,,,
96,Royce Clayton,Arizona Diamondbacks,,SS,75,,*,0.2,-1.3,1.6,Look for a Walk,0.72,1B,K,GO,1B,BB,2B,K,FO,HR,3B,,,,,,,,,,,,,,,,,,,,
19,Benito Santiago,Pittsburgh Pirates,,C,72,,,0.1,-1.6,1.7,Look for a Walk,0.65,K,GO,BB,HR,GO,2B,FO,1B,1B,K,,,,,,,,,,,,,,,,,,,,
2,Ronnie Belliard,Cleveland Indians,,2B,77,,,0.1,0.4,-0.4,Look for a Walk,0.82,1B,K,BB,FO,GO,2B,1B,2B,1B,HR,,,,,,,,,,,,,,,,,,,,
74,Gregg Zaun,Toronto Blue Jays,,C,78,,,0.1,-0.6,0.7,Look for a Walk,0.82,BB,K,1B,1B,2B,FO,GO,FO,BB,HR,,,,,,,,,,,,,,,,,,,,
46,Rocco Baldelli,Tampa Bay Devil Rays,,OF,77,*,,0.0,0.2,-0.2,Steal,0.78,1B,K,GO,1B,FO,2B,BB,GO,HR,3B,,,,,,,,,,,,,,,,,,,,
117,Alex Cora,Los Angeles Dodgers,,2B,76,,,0.0,-0.3,0.3,Make Contact,0.63,1B,BB,GO,1B,FO,GO,FO,HR,K,3B,,,,,,,,,,,,,,,,,,,,
126,Edgardo Alfonzo,San Francisco Giants,,3B,77,,,0.0,-0.2,0.2,Make Contact,0.63,1B,1B,FO,BB,GO,FO,2B,GO,HR,FO,,,,,,,,,,,,,,,,,,,,
26,Jorge Julio,Baltimore Orioles,,P,77,,,-0.1,0.1,-0.2,High Heat (BB),0.61,FO,K,FO,BB,GO,GO,K,1B,HR,FO,,,,,,,,,,,,,,,,,,,,
123,David Wells,Boston Red Sox,,P,81,,*,-0.1,2.3,-2.5,Pick Off,0.43,GO,FO,1B,GO,FO,GO,FO,K,2B,HR,,,,,,,,,,,,,,,,,,,,
